Date,Total Covid Cases,MURDER & NON-NEGL. MANSLAUGHTER,DANGEROUS WEAPONS,PETIT LARCENY,ROBBERY,HARRASSMENT 2,OFFENSES AGAINST PUBLIC ADMINI,ASSAULT 3 & RELATED OFFENSES,FELONY ASSAULT,SEX CRIMES,GRAND LARCENY,CRIMINAL MISCHIEF & RELATED OF,OFFENSES INVOLVING FRAUD,BURGLARY,OFFENSES AGAINST THE PERSON,GRAND LARCENY OF MOTOR VEHICLE,INTOXICATED & IMPAIRED DRIVING,MISCELLANEOUS PENAL LAW,OTHER OFFENSES RELATED TO THEF,RAPE,THEFT-FRAUD,OFF. AGNST PUB ORD SENSBLTY &,DANGEROUS DRUGS,VEHICLE AND TRAFFIC LAWS,FORGERY,UNAUTHORIZED USE OF A VEHICLE,CRIMINAL TRESPASS,PETIT LARCENY OF MOTOR VEHICLE,POSSESSION OF STOLEN PROPERTY,FRAUDS,OTHER STATE LAWS (NON PENAL LA,ARSON,BURGLAR'S TOOLS,KIDNAPPING & RELATED OFFENSES,NYS LAWS-UNCLASSIFIED FELONY,"HOMICIDE-NEGLIGENT,UNCLASSIFIE",THEFT OF SERVICES,ADMINISTRATIVE CODE,AGRICULTURE & MRKTS LAW-UNCLASSIFIED,GAMBLING,FRAUDULENT ACCOSTING,NYS LAWS-UNCLASSIFIED VIOLATION,OFFENSES AGAINST PUBLIC SAFETY,CHILD ABANDONMENT/NON SUPPORT,ENDAN WELFARE INCOMP,FELONY SEX CRIMES,PROSTITUTION & RELATED OFFENSES,ALCOHOLIC BEVERAGE CONTROL LAW,DISORDERLY CONDUCT,ANTICIPATORY OFFENSES,JOSTLING,HOMICIDE-NEGLIGENT-VEHICLE,"LOITERING/GAMBLING (CARDS, DIC",ESCAPE 3,KIDNAPPING,OFFENSES RELATED TO CHILDREN,OTHER STATE LAWS,DISRUPTION OF A RELIGIOUS SERV,OTHER STATE LAWS (NON PENAL LAW),INTOXICATED/IMPAIRED DRIVING,OFFENSES AGAINST MARRIAGE UNCL,NEW YORK CITY HEALTH CODE
01/27/2021,4780,0,17,231,27,170,20,76,52,12,72,115,7,34,1,14,8,35,0,1,15,34,56,14,18,4,5,0,3,8,1,3,1,0,1,0,0,1,2,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/28/2021,4675,0,16,172,26,160,11,80,42,9,85,96,9,28,1,19,9,25,0,1,13,43,40,18,19,3,8,0,5,7,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/29/2021,3668,1,18,204,31,151,13,85,28,12,68,87,16,44,1,25,4,33,2,2,13,38,38,23,26,5,1,0,1,5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/30/2021,2858,1,8,205,34,165,14,93,55,8,71,120,11,26,2,19,11,33,0,5,3,32,22,14,12,1,1,0,3,6,2,1,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/31/2021,2891,1,8,166,34,143,9,117,50,12,40,73,12,29,2,22,7,27,5,2,3,40,7,17,9,2,2,2,0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/01/2021,975,0,2,118,14,128,10,78,48,23,53,98,0,22,2,12,2,22,1,5,38,54,1,8,3,0,5,0,0,9,1,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/02/2021,2660,1,6,149,12,155,9,90,40,13,57,78,3,16,1,15,5,30,1,3,11,30,26,10,11,4,4,0,0,5,0,1,0,2,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/03/2021,5143,2,22,178,22,186,15,120,56,16,60,87,8,20,1,4,4,35,2,1,12,44,38,8,13,0,7,0,4,4,0,0,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
02/04/2021,4856,0,18,209,23,158,15,117,51,6,81,108,8,23,4,17,3,37,1,1,16,38,66,22,24,7,6,0,1,5,0,1,0,0,2,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
02/05/2021,4157,1,22,226,31,205,12,102,41,13,89,100,6,34,5,27,8,24,1,1,17,47,40,14,19,3,7,0,3,10,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
